,office,ts_id
133,LRL,Green.Temp-Air.Min.~1Day.1Day.radar-test
134,LRL,Green.Temp-Water.Inst.~1Day.0.lrldlb-raw
135,LRL,Green.Temp-Water.Inst.~1Day.0.radar-test
136,LRL,Greensburg.Flow.Inst.15Minutes.0.LRGS-comp
137,LRL,Greensburg.Precip.Inst.15Minutes.0.LRGS-raw
138,LRL,Greensburg.Precip.Total.15Minutes.15Minutes.USGS-raw
139,LRL,Greensburg.Precip.Total.15Minutes.15Minutes.USGS-rev
140,LRL,Greensburg.Stage.Inst.15Minutes.0.LRGS-raw
141,LRL,Greensburg.Stage.Inst.15Minutes.0.LRGS-rev
142,LRL,Greensburg.Stage.Inst.15Minutes.0.USGS-raw
143,LRL,Greensburg.Stage.Inst.15Minutes.0.USGS-rev
144,LRL,Greensburg.Stage.Inst.~1Day.0.lrldlb-raw
145,LRL,Greensburg.Stage.Inst.~1Day.0.lrldlb-rev
146,LRL,Greensburg.Stage.Inst.~1Day.0.radar-test
147,LRL,Greensburg.Temp-Water.Inst.15Minutes.0.LRGS-raw
148,LRL,Greensburg.Temp-Water.Inst.15Minutes.0.LRGS-rev
149,LRL,Greensburg.Temp-Water.Inst.15Minutes.0.USGS-raw
150,LRL,Greensburg.Temp-Water.Inst.15Minutes.0.USGS-rev
151,LRL,Catawba.Flow.Inst.15Minutes.0.LRGS-comp
152,LRL,Catawba.Flow.Inst.15Minutes.0.USGS-raw
153,LRL,Catawba.Flow.Inst.15Minutes.0.USGS-rev
154,LRL,Catawba.Flow.Inst.~1Day.0.LRL-cavi-fct
155,LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-raw
156,LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-rev
157,LRL,Catawba.Stage.Inst.15Minutes.0.USGS-raw
158,LRL,Catawba.Stage.Inst.15Minutes.0.USGS-rev
159,LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-raw
160,LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-rev
161,LRL,Buckhorn-Lake.Elev.Inst.15Minutes.0.LRGS-raw
162,LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.LRGS-raw
163,LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.LRGS-rev
164,LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.USGS-raw
165,LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.USGS-rev
166,LRL,Buckhorn-Lake.Precip.Inst.15Minutes.0.LRGS-raw
167,LRL,Buckhorn-Lake.Precip.Inst.5Minutes.0.LRGS-raw
168,LRL,Buckhorn-Lake.Precip.Total.5Minutes.5Minutes.USGS-raw
169,LRL,Buckhorn-Lake.Precip.Total.5Minutes.5Minutes.USGS-rev
170,LRL,Buckhorn-Lake.Stage.Inst.15Minutes.0.LRGS-raw
171,LRL,Buckhorn-Lake.Stage.Inst.15Minutes.0.LRGS-rev
172,LRL,Buckhorn-Lake.Stage.Inst.5Minutes.0.USGS-raw
173,LRL,Buckhorn-Lake.Stage.Inst.5Minutes.0.USGS-rev
174,LRL,TaylorsvilleOH.Elev.Inst.15Minutes.0.USGS-comp
175,LRL,TaylorsvilleOH.Flow.Inst.15Minutes.0.USGS-raw
176,LRL,TaylorsvilleOH.Flow.Inst.15Minutes.0.USGS-rev
177,LRL,TaylorsvilleOH.Precip.Total.15Minutes.15Minutes.USGS-raw
178,LRL,TaylorsvilleOH.Precip.Total.15Minutes.15Minutes.USGS-rev
179,LRL,TaylorsvilleOH.Stage.Inst.15Minutes.0.USGS-raw
180,LRL,TaylorsvilleOH.Stage.Inst.15Minutes.0.USGS-rev
181,LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-0hrQPF
182,LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-48hrQPF
183,LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-operQPF
184,LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-0hrQPF
185,LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-48hrQPF
186,LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-operQPF
187,LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-0hrQPF
188,LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-48hrQPF
189,LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-operQPF
190,LRL,Olmsted-HW.Stage.Inst.15Minutes.0.USGS-raw
191,LRL,Olmsted-HW.Stage.Inst.15Minutes.0.USGS-rev
192,LRL,Boston.Flow.Inst.0.0.USGS-raw
193,LRL,Boston.Flow.Inst.0.0.USGS-rev
194,LRL,Boston.Flow.Inst.15Minutes.0.LRGS-comp
195,LRL,Boston.Flow.Inst.15Minutes.0.USGS-raw
196,LRL,Boston.Flow.Inst.15Minutes.0.USGS-rev
197,LRL,Boston.Flow.Inst.~1Day.0.LRL-cavi-fct
198,LRL,Boston.Precip.Inst.15Minutes.0.LRGS-raw
199,LRL,Boston.Precip.Total.15Minutes.15Minutes.USGS-raw
200,LRL,Boston.Precip.Total.15Minutes.15Minutes.USGS-rev
201,LRL,Boston.Stage.Inst.15Minutes.0.LRGS-raw
