office,ts_id
LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-operQPF
LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-0hrQPF
LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-48hrQPF
LRL,ALVK2S.Flow.Inst.6Hours.0.OHRFC-operQPF
LRL,Cairo-CIRI2.Elev.Inst.6Hours.0.LMRFC-fct-0QPF
LRL,Cairo-CIRI2.Elev.Inst.6Hours.0.LMRFC-fct-48QPF
LRL,Cairo-CIRI2.Stage.Inst.6Hours.0.LMRFC-fct-0QPF
LRL,Cairo-CIRI2.Stage.Inst.6Hours.0.LMRFC-fct-48QPF
LRL,Cairo.Elev.Inst.1Hour.0.USGS-rev
LRL,Cairo.Precip.Inst.1Hour.0.LRGS-raw
LRL,Cairo.Stage.Inst.1Hour.0.LRGS-raw
LRL,Cairo.Stage.Inst.1Hour.0.LRGS-rev
LRL,Cairo.Stage.Inst.1Hour.0.USGS-raw
LRL,Cairo.Stage.Inst.1Hour.0.USGS-rev
LRL,Barkley-BARK2.Flow.Ave.~6Hours.6Hours.TVA-fct
LRL,Barkley-BARK2.Flow.Inst.1Hour.0.TVA-obs
LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-0hrQPF
LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-48hrQPF
LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-operQPF
LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-0hrQPF
LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-48hrQPF
LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-operQPF
LRL,Buckhorn.Elev.Inst.0.0.lrldlb-raw
LRL,Buckhorn.Elev.Inst.0.0.lrldlb-rev
LRL,Buckhorn.Elev.Inst.0.0.radar-test
LRL,Buckhorn.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn.Elev.Inst.15Minutes.0.LRGS-rev
LRL,Buckhorn.Elev.Inst.1Hour.0.LRL-cavi-fct
LRL,Buckhorn.Elev.Inst.1Hour.0.National-CWMS-Forecast
LRL,Buckhorn.Elev.Inst.1Hour.0.lrldlb-comp
LRL,Buckhorn.Elev.Inst.~1Day.0.LRL-cavi-fct
LRL,Buckhorn.Flow-BP1.Inst.0.0.lrldlb-comp
LRL,Buckhorn.Flow-BP1.Inst.1Hour.0.lrldlb-comp
