office,name,nearest-city,public-name,kind,time-zone,latitude,longitude,unit,nation,state,county,bounding-office,active,aliases,long-name,map-label,type,published-latitude,published-longitude,horizontal-datum,elevation,vertical-datum,description
MVP,AGYM5,Argyle,Middle River at Argyle,SITE,US/Central,48.340277777778,-96.816111111111,ft,United States,MN,Marshall,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'AGYM5'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'AGYM5'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'AGYM5'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05087500'}]","Middle River at Argyle, MN",,DCP Gage,,,NAD83,828.5299999999999,LOCAL,"Middle River at Argyle, MN"
MVP,LockDam_02-TainterGate16,Hastings,Lock and Dam 02 Tainter Gate 16,OUTLET,US/Central,44.7599,-92.8683,ft,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00594-TainterGate16'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-TainterGate16'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-TainterGate16'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-TainterGate16'}]",,Mississippi River Lock and Dam 02,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_02-TainterGate18,Hastings,Lock and Dam 02 Tainter Gate 18,OUTLET,US/Central,44.7599,-92.8683,ft,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-TainterGate18'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-TainterGate18'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00594-TainterGate18'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-TainterGate18'}]",,Mississippi River Lock and Dam 02,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_05-CP_Alma,Winona,Lock and Dam 05 Control Point,SITE,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00589-CP_Alma'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-CP_Alma'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-CP_Alma'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-CP_Alma'}]",,Mississippi River Lock and Dam 05,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LFKM5,Hibbing,Little Fork River at Little Fk,SITE,US/Central,48.3958,-93.5492,ft,United States,MN,Koochiching,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LFKM5'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'LFKM5'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05131500'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LFKM5'}]","Little Fork River at Little Fork, MN",,DCP Gage,,,,1083.59,LOCAL,
MVP,LockDam_05a-Spillway,Winona,Lock and Dam 05a Spillway,SITE,US/Central,44.0883,-91.6699,m,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05a-Spillway'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00588-Spillway'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'WIDM5-Spillway'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05a-Spillway'}]",,Mississippi River Lock and Dam 05a,,0.0,0.0,NAD83,182.88,NAVD88,
MVP,LockDam_05-TainterGate08,Winona,Lock and Dam 05 Tainter Gate 08,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate08'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate08'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate08'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate08'}]",Mississippi River Lock and Dam 05 Tainter Gate 08,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_05-TainterGate10,Winona,Lock and Dam 05 Tainter Gate 10,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate10'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate10'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate10'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate10'}]",Mississippi River Lock and Dam 05 Tainter Gate 10,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,Baldhill_Dam-TainterGate01,Jamestown,Baldhill Dam Tainter Gate 01,OUTLET,US/Central,47.0361844,-98.081466,ft,United States,ND,Barnes,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'BLDN8-TainterGate01'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Baldhill_Dam-TainterGate01'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Baldhill_Dam-TainterGate01'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05057500-TainterGate01'}, {'name': 'Agency Aliases-NIDID', 'value': 'ND00309-TainterGate01'}]",,Baldhill Dam,,,,NAD83,0.0,NGVD29,
MVP,ABRN8,Abercrombie,Wild Rice River at Abercrombie,STREAM_LOCATION,US/Central,46.4680556,-96.7833333,ft,United States,ND,Richland,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'ABRN8'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'ABRN8'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05053000'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'ABRN8'}]","Wild Rice River near Abercrombie, ND",,,,,NAD83,907.9399999999999,,"Wild Rice River near Abercrombie, ND"
MVP,Baldhill_Dam-LowFlow01,Valley City,Baldhill Dam Low Flow Gate 01,OUTLET,US/Central,47.0359542,-98.0812555,m,United States,ND,Barnes,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'BLDN8-LowFlow01'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05057500-LowFlow01'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Baldhill_Dam-LowFlow01'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Baldhill_Dam-LowFlow01'}, {'name': 'Agency Aliases-NIDID', 'value': 'ND00309-LowFlow01'}]",Baldhill Dam Low Flow Gate 01,Baldhill Dam Low Flow Gate 01,,,,NAD83,365.76,NGVD29,
MVP,LockDam_02-Tailwater,Hastings,Lock and Dam 2 Tailwater,SITE,US/Central,44.757049,-92.866069,m,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-Tailwater'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00594-Tailwater'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-Tailwater'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-Tailwater'}]",Mississippi River Lock and Dam 02 Tailwater,Mississippi River Lock and Dam 02 Tailwater,,0.0,0.0,NAD83,182.88,NAVD88,
MVP,Baldhill_Dam-TainterGate03,Jamestown,Baldhill Dam Tainter Gate 03,OUTLET,US/Central,47.0361844,-98.081466,ft,United States,ND,Barnes,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'BLDN8-TainterGate03'}, {'name': 'Agency Aliases-NIDID', 'value': 'ND00309-TainterGate03'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Baldhill_Dam-TainterGate03'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05057500-TainterGate03'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Baldhill_Dam-TainterGate03'}]",,Baldhill Dam,,,,NAD83,0.0,NGVD29,
MVP,Highway75_Dam-ServiceSpillway,Watertown,Highway 75 Dam Service Spillway,SITE,US/Central,45.226761111111,-96.290252777778,ft,United States,MN,Lac Qui Parle,MVP,True,"[{'name': 'RFC CHPS Aliases-Locations', 'value': 'ODAM5_CHPS-ServiceSpillway'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'ODEM5'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00581-ServiceSpillway'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Highway75_Dam-ServiceSpillway'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Highway75_Dam-ServiceSpillway'}]",,Highway 75 Dam,,0.0,0.0,NAD83,0.0,NGVD29,
MVP,LockDam_10-CP_Clayton,Dubuque,Lock and Dam 10 Control Point,SITE,US/Central,42.785,-91.095,ft,United States,IA,Clayton,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_10-CP_Clayton'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'GTTI4-CP_Clayton'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_10-CP_Clayton'}, {'name': 'Agency Aliases-NIDID', 'value': 'IA04014-CP_Clayton'}]",,Mississippi River Lock and Dam 10,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
